,Unnamed: 0,store_nbr,family,order,seasonal_order
0,0,10,AUTOMOTIVE,"(1, 0, 2)","(0, 0, 0, 0)"
1,1,10,BABY CARE,"(1, 0, 2)","(0, 0, 0, 0)"
2,2,10,BEAUTY,"(2, 0, 1)","(0, 0, 0, 0)"
3,3,10,BEVERAGES,"(4, 0, 3)","(0, 0, 0, 0)"
4,4,10,BOOKS,-1,-1
5,5,10,BREAD/BAKERY,"(1, 0, 4)","(0, 0, 0, 0)"
6,6,10,CELEBRATION,"(4, 0, 4)","(0, 0, 0, 0)"
7,7,10,CLEANING,"(0, 0, 3)","(0, 0, 0, 0)"
8,8,10,DAIRY,"(2, 1, 4)","(2, 0, 2, 7)"
9,9,10,DELI,"(2, 0, 1)","(0, 0, 0, 0)"
10,10,10,EGGS,"(1, 0, 2)","(0, 0, 0, 0)"
11,11,10,FROZEN FOODS,"(4, 0, 2)","(0, 0, 0, 0)"
12,12,10,GROCERY I,"(4, 0, 1)","(0, 0, 0, 0)"
13,13,10,GROCERY II,"(4, 0, 4)","(0, 0, 0, 0)"
14,14,10,HARDWARE,"(2, 0, 1)","(0, 0, 0, 0)"
15,15,10,HOME AND KITCHEN I,"(2, 0, 2)","(0, 0, 0, 0)"
16,16,10,HOME AND KITCHEN II,"(2, 0, 2)","(0, 0, 0, 0)"
17,17,10,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,10,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,10,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,10,LAWN AND GARDEN,"(1, 0, 0)","(0, 0, 0, 0)"
21,21,10,LINGERIE,"(2, 0, 3)","(0, 0, 0, 0)"
22,22,10,"LIQUOR,WINE,BEER","(3, 0, 3)","(0, 0, 0, 0)"
23,23,10,MAGAZINES,"(2, 0, 1)","(0, 0, 0, 0)"
24,24,10,MEATS,"(2, 1, 2)","(1, 0, 1, 7)"
25,25,10,PERSONAL CARE,"(1, 0, 0)","(0, 0, 0, 0)"
26,26,10,PET SUPPLIES,"(0, 1, 1)","(1, 0, 1, 7)"
27,27,10,PLAYERS AND ELECTRONICS,"(1, 0, 3)","(0, 0, 0, 0)"
28,28,10,POULTRY,"(1, 0, 4)","(0, 0, 0, 0)"
29,29,10,PREPARED FOODS,"(0, 1, 2)","(2, 0, 1, 7)"
30,30,10,PRODUCE,"(4, 0, 3)","(0, 0, 0, 0)"
31,31,10,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 3)","(0, 0, 0, 0)"
32,32,10,SEAFOOD,"(3, 0, 1)","(0, 0, 0, 0)"
0,0,11,AUTOMOTIVE,"(1, 0, 2)","(0, 0, 0, 0)"
1,1,11,BABY CARE,"(3, 0, 2)","(0, 0, 0, 0)"
2,2,11,BEAUTY,"(2, 0, 2)","(0, 0, 0, 0)"
3,3,11,BEVERAGES,"(0, 1, 4)","(1, 0, 1, 7)"
4,4,11,BOOKS,-1,-1
5,5,11,BREAD/BAKERY,"(4, 0, 4)","(0, 0, 0, 0)"
6,6,11,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,11,CLEANING,"(4, 0, 0)","(0, 0, 0, 0)"
8,8,11,DAIRY,"(4, 1, 0)","(1, 0, 2, 7)"
9,9,11,DELI,"(4, 1, 0)","(2, 0, 2, 7)"
10,10,11,EGGS,"(4, 0, 1)","(0, 0, 0, 0)"
11,11,11,FROZEN FOODS,"(4, 0, 1)","(0, 0, 0, 0)"
12,12,11,GROCERY I,"(4, 0, 1)","(0, 0, 0, 0)"
13,13,11,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,11,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,11,HOME AND KITCHEN I,"(4, 0, 1)","(0, 0, 0, 0)"
16,16,11,HOME AND KITCHEN II,"(3, 0, 2)","(0, 0, 0, 0)"
17,17,11,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,11,HOME CARE,"(4, 0, 2)","(0, 0, 0, 0)"
19,19,11,LADIESWEAR,"(2, 0, 1)","(0, 0, 0, 0)"
20,20,11,LAWN AND GARDEN,"(2, 0, 1)","(0, 0, 0, 0)"
21,21,11,LINGERIE,"(1, 0, 3)","(0, 0, 0, 0)"
22,22,11,"LIQUOR,WINE,BEER","(4, 0, 1)","(0, 0, 0, 0)"
23,23,11,MAGAZINES,"(2, 0, 2)","(0, 0, 0, 0)"
24,24,11,MEATS,"(3, 0, 4)","(0, 0, 0, 0)"
25,25,11,PERSONAL CARE,"(4, 0, 0)","(0, 0, 0, 0)"
26,26,11,PET SUPPLIES,"(0, 1, 2)","(0, 0, 0, 7)"
27,27,11,PLAYERS AND ELECTRONICS,"(1, 1, 1)","(1, 0, 2, 7)"
28,28,11,POULTRY,"(4, 0, 4)","(0, 0, 0, 0)"
29,29,11,PREPARED FOODS,"(2, 1, 2)","(2, 0, 1, 7)"
30,30,11,PRODUCE,"(0, 1, 3)","(1, 0, 1, 7)"
31,31,11,SCHOOL AND OFFICE SUPPLIES,"(3, 0, 4)","(0, 0, 0, 0)"
32,32,11,SEAFOOD,"(1, 0, 4)","(0, 0, 0, 0)"
0,0,12,AUTOMOTIVE,"(1, 0, 2)","(0, 0, 0, 0)"
1,1,12,BABY CARE,"(1, 0, 1)","(0, 0, 0, 0)"
2,2,12,BEAUTY,"(3, 0, 1)","(0, 0, 0, 0)"
3,3,12,BEVERAGES,"(1, 0, 3)","(0, 0, 0, 0)"
4,4,12,BOOKS,-1,-1
5,5,12,BREAD/BAKERY,"(1, 0, 2)","(0, 0, 0, 0)"
6,6,12,CELEBRATION,"(0, 1, 1)","(2, 0, 2, 7)"
7,7,12,CLEANING,"(4, 0, 2)","(0, 0, 0, 0)"
8,8,12,DAIRY,"(1, 1, 1)","(2, 0, 1, 7)"
9,9,12,DELI,"(2, 0, 1)","(0, 0, 0, 0)"
10,10,12,EGGS,"(1, 0, 1)","(0, 0, 0, 0)"
11,11,12,FROZEN FOODS,"(3, 0, 3)","(0, 0, 0, 0)"
12,12,12,GROCERY I,"(1, 0, 4)","(0, 0, 0, 0)"
13,13,12,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,12,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,12,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
16,16,12,HOME AND KITCHEN II,"(1, 1, 3)","(0, 0, 2, 7)"
17,17,12,HOME APPLIANCES,"(4, 0, 3)","(0, 0, 0, 0)"
18,18,12,HOME CARE,"(1, 0, 3)","(0, 0, 0, 0)"
19,19,12,LADIESWEAR,"(1, 0, 2)","(0, 0, 0, 0)"
20,20,12,LAWN AND GARDEN,"(0, 0, 2)","(0, 0, 0, 0)"
21,21,12,LINGERIE,"(1, 0, 2)","(0, 0, 0, 0)"
22,22,12,"LIQUOR,WINE,BEER","(3, 0, 4)","(0, 0, 0, 0)"
23,23,12,MAGAZINES,"(1, 0, 4)","(0, 0, 0, 0)"
24,24,12,MEATS,"(0, 0, 0)","(0, 0, 0, 0)"
25,25,12,PERSONAL CARE,"(1, 0, 3)","(0, 0, 0, 0)"
26,26,12,PET SUPPLIES,"(1, 1, 1)","(2, 0, 1, 7)"
27,27,12,PLAYERS AND ELECTRONICS,"(2, 0, 1)","(0, 0, 0, 0)"
28,28,12,POULTRY,"(3, 0, 3)","(0, 0, 0, 0)"
29,29,12,PREPARED FOODS,"(0, 1, 1)","(1, 0, 1, 7)"
30,30,12,PRODUCE,"(3, 0, 4)","(0, 0, 0, 0)"
31,31,12,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 1)","(0, 0, 0, 0)"
32,32,12,SEAFOOD,"(0, 1, 1)","(0, 0, 0, 7)"
0,0,13,AUTOMOTIVE,"(1, 0, 3)","(0, 0, 0, 0)"
1,1,13,BABY CARE,-1,-1
2,2,13,BEAUTY,"(1, 0, 3)","(0, 0, 0, 0)"
3,3,13,BEVERAGES,"(3, 0, 4)","(0, 0, 0, 0)"
4,4,13,BOOKS,-1,-1
5,5,13,BREAD/BAKERY,"(4, 0, 1)","(0, 0, 0, 0)"
6,6,13,CELEBRATION,"(1, 0, 1)","(0, 0, 0, 0)"
7,7,13,CLEANING,"(4, 0, 4)","(0, 0, 0, 0)"
8,8,13,DAIRY,"(3, 1, 2)","(1, 0, 1, 7)"
9,9,13,DELI,"(1, 1, 2)","(1, 0, 1, 7)"
10,10,13,EGGS,"(3, 0, 4)","(0, 0, 0, 0)"
11,11,13,FROZEN FOODS,"(1, 0, 2)","(0, 0, 0, 0)"
12,12,13,GROCERY I,"(3, 0, 4)","(0, 0, 0, 0)"
13,13,13,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,13,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
