,Unnamed: 0,store_nbr,family,order,seasonal_order
15,15,13,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
16,16,13,HOME AND KITCHEN II,"(2, 0, 1)","(0, 0, 0, 0)"
17,17,13,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,13,HOME CARE,"(4, 0, 3)","(0, 0, 0, 0)"
19,19,13,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,13,LAWN AND GARDEN,"(1, 0, 0)","(0, 0, 0, 0)"
21,21,13,LINGERIE,"(2, 0, 1)","(0, 0, 0, 0)"
22,22,13,"LIQUOR,WINE,BEER","(2, 0, 3)","(0, 0, 0, 0)"
23,23,13,MAGAZINES,"(2, 0, 1)","(0, 0, 0, 0)"
24,24,13,MEATS,"(3, 0, 4)","(0, 0, 0, 0)"
25,25,13,PERSONAL CARE,"(3, 0, 3)","(0, 0, 0, 0)"
26,26,13,PET SUPPLIES,"(1, 0, 1)","(0, 0, 0, 0)"
27,27,13,PLAYERS AND ELECTRONICS,"(2, 0, 1)","(0, 0, 0, 0)"
28,28,13,POULTRY,"(3, 0, 4)","(0, 0, 0, 0)"
29,29,13,PREPARED FOODS,"(0, 1, 2)","(1, 0, 1, 7)"
30,30,13,PRODUCE,"(1, 0, 1)","(0, 0, 0, 0)"
31,31,13,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 2)","(0, 0, 0, 0)"
32,32,13,SEAFOOD,"(4, 0, 4)","(0, 0, 0, 0)"
0,0,14,AUTOMOTIVE,"(1, 0, 3)","(0, 0, 0, 0)"
1,1,14,BABY CARE,"(0, 0, 3)","(0, 0, 0, 0)"
2,2,14,BEAUTY,"(4, 0, 4)","(0, 0, 0, 0)"
3,3,14,BEVERAGES,"(4, 0, 1)","(0, 0, 0, 0)"
4,4,14,BOOKS,-1,-1
5,5,14,BREAD/BAKERY,"(4, 0, 4)","(0, 0, 0, 0)"
6,6,14,CELEBRATION,"(3, 0, 1)","(0, 0, 0, 0)"
7,7,14,CLEANING,"(3, 0, 4)","(0, 0, 0, 0)"
8,8,14,DAIRY,"(3, 0, 4)","(0, 0, 0, 0)"
9,9,14,DELI,"(2, 1, 2)","(2, 0, 2, 7)"
10,10,14,EGGS,"(2, 0, 1)","(0, 0, 0, 0)"
11,11,14,FROZEN FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
12,12,14,GROCERY I,"(4, 0, 3)","(0, 0, 0, 0)"
13,13,14,GROCERY II,"(3, 0, 4)","(0, 0, 0, 0)"
14,14,14,HARDWARE,"(2, 0, 2)","(0, 0, 0, 0)"
15,15,14,HOME AND KITCHEN I,"(1, 0, 1)","(0, 0, 0, 0)"
16,16,14,HOME AND KITCHEN II,"(3, 1, 1)","(1, 0, 1, 7)"
17,17,14,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,14,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,14,LADIESWEAR,"(1, 0, 1)","(0, 0, 0, 0)"
20,20,14,LAWN AND GARDEN,-1,-1
21,21,14,LINGERIE,"(3, 0, 1)","(0, 0, 0, 0)"
22,22,14,"LIQUOR,WINE,BEER","(3, 0, 3)","(0, 0, 0, 0)"
23,23,14,MAGAZINES,"(1, 1, 2)","(1, 0, 2, 7)"
24,24,14,MEATS,"(4, 0, 4)","(0, 0, 0, 0)"
25,25,14,PERSONAL CARE,"(4, 0, 3)","(0, 0, 0, 0)"
26,26,14,PET SUPPLIES,"(0, 1, 1)","(1, 0, 1, 7)"
27,27,14,PLAYERS AND ELECTRONICS,"(4, 1, 1)","(1, 0, 1, 7)"
28,28,14,POULTRY,"(3, 0, 4)","(0, 0, 0, 0)"
29,29,14,PREPARED FOODS,"(2, 1, 1)","(1, 0, 1, 7)"
30,30,14,PRODUCE,"(4, 0, 4)","(0, 0, 0, 0)"
31,31,14,SCHOOL AND OFFICE SUPPLIES,"(3, 0, 4)","(0, 0, 0, 0)"
32,32,14,SEAFOOD,"(2, 0, 1)","(0, 0, 0, 0)"
0,0,25,AUTOMOTIVE,"(3, 0, 4)","(0, 0, 0, 0)"
1,1,25,BABY CARE,"(3, 0, 3)","(0, 0, 0, 0)"
2,2,25,BEAUTY,"(2, 0, 1)","(0, 0, 0, 0)"
3,3,25,BEVERAGES,"(4, 0, 3)","(0, 0, 0, 0)"
4,4,25,BOOKS,"(4, 0, 4)","(0, 0, 0, 0)"
5,5,25,BREAD/BAKERY,"(4, 0, 4)","(0, 0, 0, 0)"
6,6,25,CELEBRATION,"(2, 0, 1)","(0, 0, 0, 0)"
7,7,25,CLEANING,"(3, 0, 1)","(0, 0, 0, 0)"
8,8,25,DAIRY,"(4, 0, 1)","(0, 0, 0, 0)"
9,9,25,DELI,"(3, 0, 1)","(0, 0, 0, 0)"
10,10,25,EGGS,"(4, 0, 3)","(0, 0, 0, 0)"
11,11,25,FROZEN FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
12,12,25,GROCERY I,"(3, 0, 4)","(0, 0, 0, 0)"
13,13,25,GROCERY II,"(3, 0, 4)","(0, 0, 0, 0)"
14,14,25,HARDWARE,"(2, 0, 2)","(0, 0, 0, 0)"
15,15,25,HOME AND KITCHEN I,"(2, 0, 1)","(0, 0, 0, 0)"
16,16,25,HOME AND KITCHEN II,"(3, 0, 2)","(0, 0, 0, 0)"
17,17,25,HOME APPLIANCES,"(3, 0, 4)","(0, 0, 0, 0)"
18,18,25,HOME CARE,"(4, 0, 3)","(0, 0, 0, 0)"
19,19,25,LADIESWEAR,-1,-1
20,20,25,LAWN AND GARDEN,"(4, 0, 4)","(0, 0, 0, 0)"
21,21,25,LINGERIE,"(3, 0, 1)","(0, 0, 0, 0)"
22,22,25,"LIQUOR,WINE,BEER","(4, 0, 4)","(0, 0, 0, 0)"
23,23,25,MAGAZINES,"(2, 0, 1)","(0, 0, 0, 0)"
24,24,25,MEATS,"(3, 0, 4)","(0, 0, 0, 0)"
25,25,25,PERSONAL CARE,"(4, 0, 3)","(0, 0, 0, 0)"
26,26,25,PET SUPPLIES,"(1, 0, 1)","(0, 0, 0, 0)"
27,27,25,PLAYERS AND ELECTRONICS,"(3, 0, 1)","(0, 0, 0, 0)"
28,28,25,POULTRY,"(3, 0, 4)","(0, 0, 0, 0)"
29,29,25,PREPARED FOODS,"(2, 0, 3)","(0, 0, 0, 0)"
30,30,25,PRODUCE,"(3, 0, 4)","(0, 0, 0, 0)"
31,31,25,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 3)","(0, 0, 0, 0)"
32,32,25,SEAFOOD,"(1, 0, 4)","(0, 0, 0, 0)"
0,0,26,AUTOMOTIVE,"(1, 0, 1)","(0, 0, 0, 0)"
1,1,26,BABY CARE,"(3, 0, 3)","(0, 0, 0, 0)"
2,2,26,BEAUTY,"(2, 0, 1)","(0, 0, 0, 0)"
3,3,26,BEVERAGES,"(4, 0, 4)","(0, 0, 0, 0)"
4,4,26,BOOKS,"(1, 0, 1)","(0, 0, 0, 0)"
5,5,26,BREAD/BAKERY,"(1, 0, 2)","(0, 0, 0, 0)"
6,6,26,CELEBRATION,"(2, 0, 1)","(0, 0, 0, 0)"
7,7,26,CLEANING,"(3, 0, 4)","(0, 0, 0, 0)"
8,8,26,DAIRY,"(3, 0, 4)","(0, 0, 0, 0)"
9,9,26,DELI,"(4, 0, 1)","(0, 0, 0, 0)"
10,10,26,EGGS,"(1, 0, 2)","(0, 0, 0, 0)"
11,11,26,FROZEN FOODS,"(4, 0, 3)","(0, 0, 0, 0)"
12,12,26,GROCERY I,"(1, 0, 2)","(0, 0, 0, 0)"
13,13,26,GROCERY II,"(2, 0, 3)","(0, 0, 0, 0)"
14,14,26,HARDWARE,"(0, 0, 1)","(0, 0, 0, 0)"
15,15,26,HOME AND KITCHEN I,"(4, 0, 1)","(0, 0, 0, 0)"
16,16,26,HOME AND KITCHEN II,"(4, 0, 1)","(0, 0, 0, 0)"
17,17,26,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,26,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,26,LADIESWEAR,"(4, 0, 4)","(0, 0, 0, 0)"
20,20,26,LAWN AND GARDEN,"(1, 0, 2)","(0, 0, 0, 0)"
21,21,26,LINGERIE,"(2, 0, 1)","(0, 0, 0, 0)"
22,22,26,"LIQUOR,WINE,BEER","(0, 0, 0)","(0, 0, 0, 0)"
23,23,26,MAGAZINES,"(1, 0, 2)","(0, 0, 0, 0)"
24,24,26,MEATS,"(4, 0, 1)","(0, 0, 0, 0)"
25,25,26,PERSONAL CARE,"(2, 0, 0)","(0, 0, 0, 0)"
26,26,26,PET SUPPLIES,"(2, 1, 1)","(2, 0, 2, 7)"
27,27,26,PLAYERS AND ELECTRONICS,"(1, 0, 1)","(0, 0, 0, 0)"
28,28,26,POULTRY,"(2, 0, 1)","(0, 0, 0, 0)"
29,29,26,PREPARED FOODS,"(1, 0, 2)","(0, 0, 0, 0)"
30,30,26,PRODUCE,"(4, 0, 4)","(0, 0, 0, 0)"
31,31,26,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 3)","(0, 0, 0, 0)"
32,32,26,SEAFOOD,"(1, 0, 2)","(0, 0, 0, 0)"
0,0,27,AUTOMOTIVE,"(1, 1, 2)","(1, 0, 1, 7)"
1,1,27,BABY CARE,"(4, 0, 3)","(0, 0, 0, 0)"
2,2,27,BEAUTY,"(1, 0, 4)","(0, 0, 0, 0)"
3,3,27,BEVERAGES,"(1, 1, 2)","(1, 0, 2, 7)"
4,4,27,BOOKS,"(2, 0, 2)","(0, 0, 0, 0)"
5,5,27,BREAD/BAKERY,"(1, 0, 4)","(0, 0, 0, 0)"
6,6,27,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,27,CLEANING,"(1, 1, 0)","(1, 0, 2, 7)"
8,8,27,DAIRY,"(4, 1, 0)","(2, 0, 1, 7)"
9,9,27,DELI,"(1, 1, 4)","(1, 0, 1, 7)"
10,10,27,EGGS,"(4, 0, 1)","(0, 0, 0, 0)"
11,11,27,FROZEN FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
12,12,27,GROCERY I,"(4, 1, 0)","(1, 0, 2, 7)"
13,13,27,GROCERY II,"(2, 0, 4)","(0, 0, 0, 0)"
14,14,27,HARDWARE,"(1, 0, 2)","(0, 0, 0, 0)"
15,15,27,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
16,16,27,HOME AND KITCHEN II,"(1, 0, 2)","(0, 0, 0, 0)"
17,17,27,HOME APPLIANCES,"(3, 0, 1)","(0, 0, 0, 0)"
18,18,27,HOME CARE,"(4, 0, 4)","(0, 0, 0, 0)"
19,19,27,LADIESWEAR,"(1, 1, 1)","(1, 0, 1, 7)"
20,20,27,LAWN AND GARDEN,"(0, 1, 3)","(1, 0, 1, 7)"
21,21,27,LINGERIE,"(1, 0, 2)","(0, 0, 0, 0)"
22,22,27,"LIQUOR,WINE,BEER","(2, 0, 2)","(0, 0, 0, 0)"
23,23,27,MAGAZINES,"(1, 1, 2)","(2, 0, 2, 7)"
24,24,27,MEATS,"(4, 1, 0)","(1, 0, 1, 7)"
25,25,27,PERSONAL CARE,"(1, 0, 4)","(0, 0, 0, 0)"
26,26,27,PET SUPPLIES,"(0, 1, 1)","(1, 0, 2, 7)"
27,27,27,PLAYERS AND ELECTRONICS,"(4, 0, 4)","(0, 0, 0, 0)"
28,28,27,POULTRY,"(1, 1, 1)","(0, 0, 1, 7)"
29,29,27,PREPARED FOODS,"(3, 0, 2)","(0, 0, 0, 0)"
30,30,27,PRODUCE,"(4, 0, 4)","(0, 0, 0, 0)"
31,31,27,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 4)","(0, 0, 0, 0)"
32,32,27,SEAFOOD,"(3, 0, 4)","(0, 0, 0, 0)"
0,0,28,AUTOMOTIVE,"(4, 0, 3)","(0, 0, 0, 0)"
1,1,28,BABY CARE,"(0, 1, 2)","(0, 0, 1, 7)"
2,2,28,BEAUTY,"(2, 0, 1)","(0, 0, 0, 0)"
3,3,28,BEVERAGES,"(4, 1, 0)","(2, 0, 1, 7)"
4,4,28,BOOKS,-1,-1
5,5,28,BREAD/BAKERY,"(4, 0, 4)","(0, 0, 0, 0)"
6,6,28,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,28,CLEANING,"(1, 0, 4)","(0, 0, 0, 0)"
8,8,28,DAIRY,"(4, 1, 0)","(2, 0, 0, 7)"
9,9,28,DELI,"(1, 1, 1)","(0, 0, 1, 7)"
10,10,28,EGGS,"(0, 1, 2)","(0, 0, 2, 7)"
11,11,28,FROZEN FOODS,"(4, 0, 3)","(0, 0, 0, 0)"
12,12,28,GROCERY I,"(4, 0, 4)","(0, 0, 0, 0)"
13,13,28,GROCERY II,"(1, 0, 2)","(0, 0, 0, 0)"
14,14,28,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,28,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
16,16,28,HOME AND KITCHEN II,"(1, 1, 2)","(2, 0, 2, 7)"
17,17,28,HOME APPLIANCES,"(2, 0, 1)","(0, 0, 0, 0)"
18,18,28,HOME CARE,"(4, 0, 1)","(0, 0, 0, 0)"
19,19,28,LADIESWEAR,-1,-1
20,20,28,LAWN AND GARDEN,"(3, 1, 1)","(1, 0, 2, 7)"
21,21,28,LINGERIE,"(1, 0, 2)","(0, 0, 0, 0)"
22,22,28,"LIQUOR,WINE,BEER","(4, 0, 4)","(0, 0, 0, 0)"
23,23,28,MAGAZINES,"(4, 0, 2)","(0, 0, 0, 0)"
24,24,28,MEATS,"(0, 1, 1)","(1, 0, 2, 7)"
25,25,28,PERSONAL CARE,"(1, 0, 4)","(0, 0, 0, 0)"
26,26,28,PET SUPPLIES,"(1, 1, 3)","(1, 0, 1, 7)"
27,27,28,PLAYERS AND ELECTRONICS,"(1, 0, 2)","(0, 0, 0, 0)"
28,28,28,POULTRY,"(4, 0, 1)","(0, 0, 0, 0)"
29,29,28,PREPARED FOODS,"(4, 1, 0)","(2, 0, 1, 7)"
30,30,28,PRODUCE,"(3, 0, 4)","(0, 0, 0, 0)"
31,31,28,SCHOOL AND OFFICE SUPPLIES,"(4, 0, 2)","(0, 0, 0, 0)"
32,32,28,SEAFOOD,"(1, 0, 2)","(0, 0, 0, 0)"
0,0,29,AUTOMOTIVE,"(0, 1, 2)","(1, 0, 1, 7)"
1,1,29,BABY CARE,"(3, 0, 3)","(0, 0, 0, 0)"
2,2,29,BEAUTY,"(2, 1, 2)","(1, 0, 1, 7)"
3,3,29,BEVERAGES,"(4, 1, 0)","(2, 0, 1, 7)"
4,4,29,BOOKS,-1,-1
5,5,29,BREAD/BAKERY,"(1, 1, 1)","(1, 0, 2, 7)"
6,6,29,CELEBRATION,"(1, 1, 1)","(2, 0, 2, 7)"
7,7,29,CLEANING,"(4, 1, 0)","(2, 0, 1, 7)"
8,8,29,DAIRY,"(1, 1, 1)","(2, 0, 1, 7)"
9,9,29,DELI,"(4, 1, 3)","(2, 0, 2, 7)"
10,10,29,EGGS,"(3, 1, 2)","(2, 0, 1, 7)"
11,11,29,FROZEN FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
12,12,29,GROCERY I,"(3, 1, 0)","(2, 0, 2, 7)"
13,13,29,GROCERY II,"(4, 1, 2)","(1, 0, 2, 7)"
14,14,29,HARDWARE,"(1, 0, 1)","(0, 0, 0, 0)"
15,15,29,HOME AND KITCHEN I,"(3, 1, 1)","(1, 0, 1, 7)"
16,16,29,HOME AND KITCHEN II,"(0, 1, 2)","(1, 0, 1, 7)"
17,17,29,HOME APPLIANCES,"(2, 0, 2)","(0, 0, 0, 0)"
18,18,29,HOME CARE,"(4, 1, 0)","(2, 0, 1, 7)"
19,19,29,LADIESWEAR,-1,-1
20,20,29,LAWN AND GARDEN,"(0, 1, 2)","(1, 0, 0, 7)"
21,21,29,LINGERIE,"(1, 1, 2)","(1, 0, 1, 7)"
22,22,29,"LIQUOR,WINE,BEER","(2, 0, 1)","(0, 0, 0, 0)"
23,23,29,MAGAZINES,"(2, 0, 2)","(0, 0, 0, 0)"
24,24,29,MEATS,"(1, 1, 2)","(2, 0, 2, 7)"
25,25,29,PERSONAL CARE,"(4, 1, 0)","(2, 0, 2, 7)"
26,26,29,PET SUPPLIES,"(2, 1, 1)","(1, 0, 1, 7)"
27,27,29,PLAYERS AND ELECTRONICS,"(1, 1, 1)","(2, 0, 2, 7)"
28,28,29,POULTRY,"(1, 1, 2)","(2, 0, 2, 7)"
29,29,29,PREPARED FOODS,"(3, 1, 4)","(2, 0, 2, 7)"
30,30,29,PRODUCE,"(4, 1, 0)","(2, 0, 1, 7)"
31,31,29,SCHOOL AND OFFICE SUPPLIES,"(3, 0, 0)","(0, 0, 0, 0)"
32,32,29,SEAFOOD,"(1, 1, 2)","(2, 0, 2, 7)"
0,0,40,AUTOMOTIVE,"(1, 0, 2)","(0, 0, 0, 0)"
1,1,40,BABY CARE,"(4, 0, 2)","(0, 0, 0, 0)"
2,2,40,BEAUTY,"(2, 0, 2)","(0, 0, 0, 0)"
3,3,40,BEVERAGES,"(1, 1, 1)","(2, 0, 1, 7)"
4,4,40,BOOKS,-1,-1
5,5,40,BREAD/BAKERY,"(1, 0, 4)","(0, 0, 0, 0)"
6,6,40,CELEBRATION,"(1, 0, 2)","(0, 0, 0, 0)"
7,7,40,CLEANING,"(0, 1, 1)","(1, 0, 2, 7)"
8,8,40,DAIRY,"(0, 1, 3)","(1, 0, 1, 7)"
9,9,40,DELI,"(1, 1, 1)","(2, 0, 2, 7)"
10,10,40,EGGS,"(2, 1, 1)","(1, 0, 1, 7)"
11,11,40,FROZEN FOODS,"(4, 0, 4)","(0, 0, 0, 0)"
12,12,40,GROCERY I,"(0, 1, 2)","(2, 0, 1, 7)"
13,13,40,GROCERY II,"(1, 0, 1)","(0, 0, 0, 0)"
14,14,40,HARDWARE,"(3, 0, 1)","(0, 0, 0, 0)"
15,15,40,HOME AND KITCHEN I,"(1, 0, 2)","(0, 0, 0, 0)"
16,16,40,HOME AND KITCHEN II,"(2, 0, 1)","(0, 0, 0, 0)"
17,17,40,HOME APPLIANCES,"(1, 0, 1)","(0, 0, 0, 0)"
18,18,40,HOME CARE,"(3, 1, 2)","(1, 0, 1, 7)"
19,19,40,LADIESWEAR,-1,-1
20,20,40,LAWN AND GARDEN,"(0, 0, 1)","(0, 0, 0, 0)"
21,21,40,LINGERIE,"(2, 0, 1)","(0, 0, 0, 0)"
22,22,40,"LIQUOR,WINE,BEER","(1, 0, 2)","(0, 0, 0, 0)"
23,23,40,MAGAZINES,"(2, 1, 1)","(0, 0, 0, 7)"
24,24,40,MEATS,"(4, 1, 4)","(2, 0, 2, 7)"
